"Name: SkuLevels"
"Date/Time: 2025-06-12 13:20:30"

Location,Part,Part Description,Dealer Net price (UCS16),Assortment Group (SC8),Production ROP,Production Stock Maximum,Optimized ROP,Optimized Stock Maximum ,Fixed ROP (Post-Optimization),Fixed Stock Maximum (Post-Optimization),End Date,Override Reason,Override Status,Comment,Demand 12 months (UCS19),On Hand New,Bin Location (UCS18),Production Status,Total Period Forecast,AssortmentId (UCPM2),Type of Phase Out (SC4),Effective Lead Time
70912,1100090,screw,132.61,D,-1,0,-1,0,,,,,,,0,2,A06B018,Promoted To Production,0.0000,"=""1000""",Planned,9.00
70912,1100091,screw,11.33,D,-1,0,-1,0,,,,,,,0,6,A04E015,Promoted To Production,0.0000,"=""1000""",Planned,9.00
70911,1100630,radiator,"4,866.20",D,-1,0,-1,0,,,,,,,0,1,2E06C01,Promoted To Production,0.0000,"=""1000""",Planned,9.00
70911,1100631,radiator,"5,762.51",D,-1,0,-1,0,,,,,,,0,1,2E01C01,Promoted To Production,0.0000,"=""1000""",Planned,9.00
70965,1100685,sleeve,32.18,D,-1,0,-1,0,,,,,,,0,4,010-2D,Promoted To Production,0.0000,"=""1000""",Planned,7.00
70911,1100799,temp sensor,310.70,D,1,2,1,2,,,,,,,9,2,1C01B02,Promoted To Production,0.5000,"=""1000""",Planned,9.00
70912,1100799,temp sensor,310.70,D,1,2,1,2,,,,,,,6,1,B04D006,Promoted To Production,0.5215,"=""1000""",Planned,9.00
70913,1100799,temp sensor,310.70,D,1,2,1,2,,,,,,,9,2,1G02E06,Promoted To Production,0.7561,"=""1000""",Planned,9.00
70965,1100799,temp sensor,310.70,D,1,2,1,2,,,,,,,11,2,002-3B,Promoted To Production,0.6131,"=""1000""",Planned,7.00
70966,1100799,temp sensor,310.70,D,1,2,1,2,,,,,,,4,2,010-2D,Promoted To Production,0.4068,"=""1000""",Planned,11.00
76169,1100799,temp sensor,310.70,D,-1,0,-1,0,,,,,,,0,1,1C01F06,Promoted To Production,0.0000,"=""1000""",Planned,10.00
