"Name: SkuLevels"
"Date/Time: 2025-06-04 13:45:27"

Location,Part,Part Description,Dealer Net price (UCS16),Assortment Group (SC8),Production ROP,Production Stock Maximum,Optimized ROP,Optimized Stock Maximum ,Fixed ROP (Post-Optimization),Fixed Stock Maximum (Post-Optimization),End Date,Override Reason,Override Status,Comment,Demand 12 months (UCS19),On Hand New,Bin Location (UCS18),Production Status,Total Period Forecast,AssortmentId (UCPM2),Type of Phase Out (SC4),Effective Lead Time
70913,1303471,switch,455.56,D,-1,0,-1,0,,,,,,,0,2,1L10F01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1303588,screw,32.56,D,-1,0,-1,0,,,,,,,0,10,1L01F05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1303799,bush,78.19,D,-1,0,-1,0,,,,,,,0,2,1H03G01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1303960,piston,393.25,D,-1,0,-1,0,,,,,,,0,0,1L10G04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1304292,bush,156.91,D,-1,0,-1,0,,,,,,,0,0,1L06H01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1304914,O-ring,19.86,D,-1,0,-1,0,,,,,,,0,1,1L11H05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1305107,shim,573.45,D,-1,0,-1,0,,,,,,,1,0,NOT BINNED,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1305139,gasket,162.63,D,-1,0,-1,0,,,,,,,0,2,1B02F01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1305328,screw,148.27,D,-1,0,-1,0,,,,,,,0,0,1F04B06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1305673,gasket,69.21,D,-1,0,-1,0,,,,,,,0,0,1L07E06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1305676,selector finger,171.83,D,2,4,2,4,,,,,,,32,6,1K02D02,Auto Approved,2.5000,"=""1000""",Planned,9.00
70913,1306260,door window,896.07,D,-1,0,-1,0,,,,,,,0,0,2K07H01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1306312,striker plate,186.62,D,-1,0,-1,0,,,,,,,0,0,1G04K03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1306573,screw,6.69,D,-1,0,-1,0,,,,,,,0,6,1H12G05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1306652,shaft,7.78,D,-1,0,-1,0,,,,,,,0,4,1D01C03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1306689,hinge,10.96,D,-1,0,-1,0,,,,,,,0,4,1L06B02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1306931,blind rivet,9.87,D,-1,0,-1,0,,,,,,,0,4,1K04F01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1307760,dust cover,49.91,D,-1,0,-1,0,,,,,,,0,3,1K12D06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1308426,flange screw,77.55,D,-1,0,-1,0,,,,,,,0,0,NOT BINNED,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1309051,gasket,18.32,D,-1,0,-1,0,,,,,,,0,0,1L08E01,Auto Approved,0.0000,"=""1000""",Discontinued,9.00
